likes,age,themes,has_question,text
122,5 years ago (edited),age_gate|benefit_energy|benefit_recovery,0,"Taking for 2 years nmn and trans resveratrol, metformen,  lots of vitamins that you recommend, your diet and intermittent fasting, read all labels on food , organic foods. starting back at gym may 1 now I that I have second shot Pfizer. Lost 55lb at healthy weight now, 64 years old lots of energy feel 100% better,  thanks Thomas for advice 2 years now"
118,4 years ago (edited),,0,These companies should face a class action lawsuit. I’ve never taken nmn but feel for those who wasted their money on these criminals. Truly despicable.
117,3 years ago,fda_ban|authority_trust|benefit_cognition,0,"Thanks for jumping on this so quickly, Brad. Very disconcerting that (a) the FDA would do this and (b) somehow Dr. Sinclair has influenced the decision. I'm perplexed about Sinclair -- I'm experiencing cognitive dissonance btwn his public persona and these issues re resveratrol and now NMN."
115,5 years ago (edited),dose|authority_trust,0,"This is not your sharing your experience, this is you plugging a particular brand. Also Sinclair takes 1 g, not  250 mg."
109,7 months ago,placebo|cancer_risk|authority_trust|benefit_energy,0,"I actually watched that David Sinclair video when he was on Rogan back in 2019.   I had gone through cancer treatments the year before (surgery and radiation) and felt crappy all the time for over a year.   I bought NMN and NAD complete from Renue by Science and started taking it in Dec 2019 as my only supplement after a multi vitamin.   I can say that it helped my energy levels, and general outlook on life greatly.    I was a special case, I reckon, but that was no placebo effect.   I still take both daily, along with many other supplements now."
106,2 years ago,,0,I've been taking NMN for several years and have made no lifestyle changes but my results are amazing. Maybe these trials need to be more long term.
105,3 years ago (edited),dose|timing_protocol|evidence_studies,0,"I was diagnosed with mild scarring of my lungs in April. I came across a Youtube vid of an experiment with mice using NMN, Sirtuins(Resveratrol) and Zinc. I started to take these NMN 1000mg, Resveratrol with Quercetin 1500mg and 30mg zinc every morning on an empty stomach. And with prayers. Yesterday, i had another CT scan on my lungs. The scarring has been resolved and disappeared! Praise the Lord!"
99,2 years ago,placebo|benefit_cognition|benefit_recovery|benefit_skin_hair,1,"This is weird because I have been taking NMN for 1 year, and my gray hair has diminished. My recovery at the gym is way better. My testeroon went up 200 points, and I feel sharper. How is this a placebo effect? Why are they trying to make NMN a prescription drug if it didn't work?????????."
97,5 years ago,benefit_joints,0,"My father has chronic arthritis. After a couple of weeks of taking NMN, his pain reduced dramatically. He no longer needs to raise his feet in bed, his knees don't give him any trouble and his fingers are now working again properly. He can't believe it. If you're considering trying these, I highly recommend it as I've watched my father struggle for years with his arthritis and it is wonderful to see him moving around with ease and smiling so much more. Thomas is right, besides less pain, my dad also said he felt much more energetic. So, since I have CFS, last week I started taking it and it's the only thing that has helped my CFS substantially. It's only been 12 days so I don't want to speak too soon, but I've done my first hike in 6 years and I've started to re-apply for jobs as if this continues then I know I'll be able to resume work. Hands down the best supplement I've taken."
95,5 years ago,,1,"Thomas, You mentioned this was your experience with taking NMN, but I didn't hear from you if it actually worked, how you felt, what did you notice? I'm happy to learn all about how it works, but what was your direct experience?"
95,2 years ago,authority_trust,0,Was an avid Dr Sinclair follower until I discovered this channel. Thank you for standing up for truth
93,4 years ago,,0,"I just contacted Amazon, citing my specific order and telling them of this analysis.  I also provided a link to this video. Thanks Dr Brad."
92,7 months ago,,0,Dr Dre told me I should supplement my eminem levels.
90,5 years ago,dose|timing_protocol|form_absorption|authority_trust,0,"Thomas, Dr. Sinclair also made a point that NMN requires a fat to enable the absorption so he mixes his powder with a small amount of plain high fat yogurt he makes himself. In addition, the dose he takes is 1 gram of NMN and 1 gram of Resveratrol every day. I highly recommend Dr. Sinclair's new book ""Lifespan"" for anyone who wants to know more."
89,7 months ago,,0,I'm 54 and taking NMN is a real game changer for me.
88,3 years ago,nmn_vs_nr_nad|evidence_studies,0,"the study you mentioned about NR was of middle-aged, obese, insulin-resistant men. As you mentioned in the beginning of the video, lack of exercise might decrease NAD. And I believe obese middle-aged men constantly have their NAD levels dropping. So the fact that by the end of the study their NAD levels remained the same might actually be a good thing, the NR coud've offset the NAD levels they are losing by virtue of being obese. For animal studies, NR and NMN have both shown to increase NAD in muscles. In a study on mice, NR supplementation increased NAD+ levels in skeletal muscle. Another study on mice found that NR supplementation increased NAD+ levels in the quadriceps muscle. In a study on mice, NMN supplementation increased NAD+ levels in the blood and skeletal muscle. Another study on rats found that oral administration of NMN increased NAD+ levels in the blood and gastrocnemius muscle. Proper human studies are needed, ideally not obese humans."
88,3 years ago (edited),no_effect|safety_side_fx|benefit_energy|benefit_recovery,0,"Thanks for the heads up. I just placed a one-year supply order. I never want to be without this again.  I know that you didn't notice a difference,  but I have muscle dystonia, so I seem to ""go through "" far more ATP than most people,  and MNM has been a lifesaver for me. I don't get worn out halfway through the day anymore. It doesn't matter that it doesn't measurably raise NAD plus levels in muscle tissue. It seems to just make ENOUGH available when it's needed so I don't run out of steam like a little wind-down toy. And yes, resveratrol is trash."
85,2 years ago,,0,excellent systematic overview. understanding what NOT to invest time/money on is just as important (if not more) as figuring out what does work
84,3 years ago,fda_ban,0,"According to my understanding of a Health Act passed by Congress some years ago (can't remember the year), the FDA lacks legal authority to ban naturally occurring supplements. We had this battle years ago over things like vitamin C, and the FDA lost the battle when hundreds of thousands of Americans wrote their Congressmen protesting the FDA's authoritarian over-reach. I'm not sure what makes them think they can do this now, other than the overt rise in corruption over the past seven years."
84,3 years ago,authority_trust,0,The more I learn about Sinclair the more I distrust him
84,3 years ago,,0,"You are always genuinely looking out for out best interests, health, and our wallets. We appreciate you. Everyone please find some way to support this doc."
80,5 years ago,,0,So basically this a commercial and you didnt really have any real results to share. Got it.
80,3 years ago,benefit_energy|benefit_cognition|benefit_recovery|benefit_joints,0,"NMN worked for me.  After getting spondylolisthesis, from running marathons, I could no longer run due to pain (late 40's, in fact I couldn't even walk without pain).    It totally changed my life (didn't change anything else around diet, etc)...  Arthritis pain in my back is gone, better mental clarity, better energy, and no longer need epidurals every six months to function.  Moreover,  I can run again pain free and at the same pace 15 years ago at the same heart rate.  I recommended to friends and family members and they've had similar results."
74,3 years ago,,0,I just started taking this and the results are fabulous! I hope they don’t ban it.
74,3 years ago (edited),fda_ban,0,FDA needs to be stopped or banned 😊
73,4 years ago,,0,Thanks for sharing this Brad! Is definitely shocking to see some of these results!
71,2 years ago,placebo|authority_trust|age_gate|benefit_sleep,1,"Dr. Stanfield - Here's an account of my personal experience when starting NMN supplementation.  I learned of NMN in 2019.  I was interested in its supposed DNA benefits.  At the time, I was in my late 40s and actively training in Brazilian Jiu Jitsu.  In Jiu Jitsu class, we always spent the last 30-45 minutes sparing, or ""rolling"" as we called it.  This was very intense physical activity, especially so given my age.  Each round was 5 minutes, with a 1 minute rest between rounds.  At my peek physically condition in those days, I was able to do two 5 minute rounds in a row (or on rare occasions three), and then I typically had to rest a full round before I'd have one more round in me.  After that I'd be done for the day.  When I started taking NMN, I found I was immediately able to do 5-6 rounds in a row.  At the time, I was unaware of the supposed cardiovascular benefits of NMN supplementation, so I'm disinclined to think it was simply placebo effect.  Adding on to that is the unlikelihood of placebo effect resulting in a sudden doubling exercise ability.  Is that an incorrect assumption? That said, if it wasn't the NMN, what could it have been besides placebo effect?  I wondered if maybe the NMN brand I was using contained an additive like caffeine, but I can't say for sure.  I don't think so because I know I'm very sensitive to stimulants as they greatly disrupt my sleep.  I've never had any sleep disruptions from taking NMN (or products labeled NMN)."
70,7 months ago,,0,I have mitochondrial myopathy. NAD boosters have been a game changer for me for the past few years.
70,2 years ago,form_absorption|evidence_studies,0,"Hi, Brad thanks for the review. I've looked up all of the 12 studies and 11 of them mention oral supplementation. Not liposomal capsules or sublingual powder. I think it is important to point it out, as we know that NMN is a fragile molecule that breaks down in our digestive system, so these findings are of very limited use."
66,7 months ago,dose|placebo|safety_side_fx|evidence_studies|benefit_cognition|benefit_sleep|benefit_joints,0,"Yi et al. (2022) 80 healthy middle-aged adults took 300mg, 600mg, or 900mg of NMN. All doses significantly increased blood NAD+ levels. The 600mg and 900mg groups showed improved walking distance (6-minute walk test) and better self-reported health scores compared to the placebo. Igarashi et al. (2022) Older adults (65+) took 250mg/day for 12 weeks. Results showed improved muscle function (specifically walking speed and grip strength) and better sleep quality compared to the placebo group. Yoshino et al. (2021) This study focused on postmenopausal women with prediabetes. Taking 250mg/day for 10 weeks increased muscle insulin sensitivity and insulin signaling, though it did not significantly lower overall blood sugar or blood pressure. Liao et al. (2021) In a trial with amateur runners, NMN combined with exercise enhanced aerobic capacity (VO2 max) more than exercise alone, suggesting it may help the body utilize oxygen more efficiently during physical stress."
65,5 years ago,,1,What was your experience? What were the good results?
64,5 years ago,,0,Investing in Cryptocurrency NOW should be in every wise individuals list in some months time you'll be ecstatic with the decision you made today 💯💯
59,7 months ago,authority_trust,0,"David Sinclair is truly just a charlatan, resveratrol, NMN, Metformin, alle Hype not basics 💀"
59,3 years ago,,0,"I have Muscular Dystrophy. No one has any answers. So, I took it upon myself. I started nMn in February. I've gone from wheelchair to walker, to walking on my own. I'm not a scientist, but I have tried every supplement available. NOTHING has shown the benefit that nMn has."
56,3 years ago,,0,Anything to stop people taking good health into their own hands.
53,1 year ago,,0,"Legend has it, that to this very day, no one know s how his experience was with taking NMN..."
53,5 years ago,dose|benefit_skin_hair,0,"It needs to be 1g NMN with 0.5g resveratrol. I've been doing this for ages now and it *does make a difference. I feel better in many ways; I can think and concentrate more easily, it's easier to keep fit and it's taken Years off my appearance. Also my hair is thicker."
53,3 years ago,no_effect|placebo|stop_restart|fda_ban,0,"NMN has been a huge boost to my mental health. It's not a placebo effect, since I didn't notice the benefits until I stopped taking for a few days. Taking NMN has made huge difference to how I feel. I feel amazing because of this, hopefully FDA will do the right thing."
52,3 years ago (edited),fda_ban,0,• Follow-up video here: https://youtu.be/RdnGm2_odfA • Full FDA statement on NMN: https://www.regulations.gov/document/FDA-2022-S-0023-0051
51,3 years ago,nmn_vs_nr_nad|form_absorption|fda_ban|benefit_energy|benefit_recovery,0,"I bought these when I first saw this video and didn't start them until waaay later... THEY WORKED. I had more energy for workouts, woke up easier, lost weight, gained strength. I've moved on to a liposomal all-in-one product that has nad+, NR, and NMN in it, and it's also been awesome. These things work! It's why they're being banned in the name of future BIG PHARMA PROFITS."
51,7 months ago,evidence_studies,0,Actually a study just came out about how raising NAD+ levels reversed Alzheimers. You might want to hold onto that tombstone for a bit...
51,2 years ago,,0,"Brilliant, unbiased, fact based content 👌🏻"
51,2 years ago,benefit_energy,0,I started taking do not age NMN five weeks ago and honestly have felt more stamina and definitely feel “better “ in myself .
50,3 years ago,timing_protocol|benefit_energy|benefit_sleep,0,"Buy it and stack up. The first time I took it, I immediately noticed the benefits. The very next day I felt pleasantly awake in the morning, and no matter what time I go to sleep I wake up the next day completely rested and with un-deny able energy. I am in my 50's and I am obsessed with looking and feeling young. This is a game changer. Buy it!"
46,4 months ago,,0,Absolutely brilliant! Thank you Dr. Brad!
45,2 years ago,evidence_studies|authority_trust,0,"Thank you, Dr.Stanfield. I’ve been very critical of some of your past observations/conclusions that seemed to simply parrot orthodox views. In this instance, I appreciate the time you’ve taken to critically review these studies. It brings to the top of mind — for me - that as well trained as I am in statistics & experimental methods, I still easily revert to unconsciously accepting statements by “experts,” and anecdotal reviews. Not doing so requires constant reminders we need to continually wake up to going on automatic pilot. In all areas of our lives. And to do that, we must CONSTANTLY expose even our most deeply held thoughts, judgments or conclusions to rigorous and fearless scrutiny and challenge. Again…and again. And one more thing: it reminds me that just because I don’t agree with some ideas from another person, doesn’t mean anything beyond that specific thing. It should not be concluded that I am “right” such that I cannot learn and grow from that person (or most anyone else). And also, maybe I’m not even right. The more we can find joy in this journey—of curiosity, discovery, including being wrong, and learning and growing, the better everything is. I value your time and work. Thank you. Finally, I love your way of thinking about, and the formulation of, your vitamin and mineral supplement. Respectfully, Jason B."
44,2 years ago,benefit_recovery,0,"You will see the difference when you are doing heavy exercises intermittently, say once a week or intervals more than that. Muscle recovery is far more improved when taking NMN based on my experience. Before taking NMN, it takes me 2 to 3 days before my muscle sores go away. But after taking it, my muscles are no longer sore after a heavy workout even after being sedentary for a while."
44,3 years ago,fda_ban,0,"It’s a “drug” because it works, which means they want their ~4M$ in FDA application fees."
43,7 months ago,,0,Im glad you take your time to kill hype. That is even more important than spreading it.
42,2 years ago (edited),nmn_vs_nr_nad|safety_side_fx|evidence_studies,0,"I’ve been taking NR for four years.  I’m 80, and I feel great, but there’s no way to know if it’s because of the NR, since the science is still in it’s infancy.  I figured if it eventually pans out, I’ll be glad, and if it doesn’t I’ll have wasted some money, so I chose to risk the money.  So far I have seen precious little in the research about negative side effects.  We know it extends healthspan in mice, but there aren’t any mice on either side of my family."
42,2 years ago,nmn_vs_nr_nad|dose|placebo,0,"This squares with my experience. I took 1g NMN for a year, and measured blood NAD levels before and after. I had a significant boost in blood NAD, which suggests my microbiome didn't munch all of it. I did feel great the first few weeks after starting, but that wore off, consistent with the placebo effect. I'm now repeating the experiment with NR."
41,2 years ago (edited),form_absorption|evidence_studies|benefit_recovery,0,"I use NMN for recovery in endurance sports. I’m an iron man triathlete and train 13-19 hours a week and sublingual NMN makes a MASSIVE difference in performance and recovery feels like a 100% boost. Would not want to train without it. Anti aging is irrelevant to me and these studies looked at vo2 max and max strength. Again, irrelevant, the only drugs to boost these are anabolic steroids. NMN boosts RECOVERY AND RECOVERY IS MASSIVE IN SPORTS TRAINING…. Also muscle NAD is boosted with sublingual rout and IV not oral. Something the study didn’t look at… increased insulin sensitivity at the muscle may play a very important role in both recovery and endurance."
40,7 months ago,nmn_vs_nr_nad|form_absorption|tmg_methyl|stop_restart|benefit_recovery,0,"Years ago I started on NR then changed to nmn powder, the effects when you take don’t seem noticeable until you stop taking it, that’s when I notice a difference. I take nmn, tmg, creatine. I’m 52. My dad is 78 he’s been on it for years also, goes to the gym everyday, he wouldn’t change it for anything."
39,3 years ago,,0,"I started taking verso NMN & Resveratrol and I had a micronutrient test done before and after and there’s a significant improvement in my results. In terms of overall well-being, I made multiple changes in my journey so I can’t just attribute my improvement to this supplement."
39,3 years ago,fda_ban,0,Don’t give up on supplements. Diet and amino acids are a definite part of regimen that should be included in your anti aging. If you keep researching you will find many things that work and will never be banned !
38,4 months ago,,0,We really need a man like you who tells us the truth.
38,4 months ago,safety_side_fx|benefit_energy,0,"Same… I kept switching things 🫠 based on new research… but my body still felt heavy, puffy and low energy daily. Nothing worked long term and I felt stuck for years. It made no sense. Then I saw people talking about Eat.Like.a.Woman.Protocol (Loren.Green). I gave it a try and wow—30 lbs down, flat stomach, no more constant bloat. It’s wild how different things feel now… feels like a secret honestly"
38,2 years ago (edited),evidence_studies|authority_trust,0,Really unexpected finding in that last study 💪 Join Patreon for early access to my videos & Discord chat: https://www.patreon.com/bradstanfieldmd
38,4 years ago,,0,"Terrific chart. Thanks. Minefield: Without you (and testers like LabDoor), it is mostly guesswork to pick supplements. Of the brands listed, I recognized Jarrow, Toniiq, and DoubleWood as brands that I normally think of as ""trustworthy"". Nice to see those guesses confirmed by actual testing. More importantly, I now know about LabDoor, and that you trust them. Especially big thanks for that!"
37,4 years ago,,0,There should be a class action against amazon for allowing this to go on. I spent 30 minutes looking at the name and addresses for these NMN companies. I managed to trace one that looks to be a parking lot in an industrial zone next to a metal recycling company.
37,3 years ago,,0,That must mean it works.
36,5 years ago,authority_trust,0,I was wondering when you’d talk about David Sinclair’s research. His book is incredible!
36,4 months ago (edited),authority_trust,0,"Sadly, in our modern world, telling the truth is often less profitable than selling snake oil. Thanks for staying the course in pursuit of the truth Dr. Stanfield."
36,3 years ago (edited),just_take_niacin|nmn_vs_nr_nad|price_value,0,I take it because I can't take Niacin and when looking at the options it was cheaper than NR.  There is a battle over which is better NR or NMN .. both are NAD boosters and I think people should take whatever NAD booster that work best for them including Niacin.    Taking mountains of these vitamins probably isn't really helpful its just a waste.  It has most definately helped with the things that B3 is known for though.
35,5 years ago,just_take_niacin|nmn_vs_nr_nad|tmg_methyl,0,"You should probably research taking TMG to support an increase in methylation cycle when supplementing with NMN, NR and/or high doses of Niacin. Could be very important and is often overlooked."
35,2 years ago,age_gate,0,"I have been taking NMN for years. Not counting. I will be 57 this year and I can do more pushups than when I arrived at bootcamp when I was 18 years old and in the greatest shape of my life. I don't know man, something is working."
35,2 years ago,price_value,0,"I have taken many supplements throughout my life and I feel like NMN is one of the few that I can feel a difference when I take it. I feel like I can get another 15% of productivity out of my day. I know this is anecdotal, but I hear similar results from my friends. It works well for me so I’m going to continue to take it even though it is expensive."
35,2 years ago,placebo|benefit_energy|benefit_cognition|benefit_recovery,0,"This is huge in my view.  I’ve been questioning the value of NMN for months as I’ve been on it ( from DoNotAge) for 20 months.  I’m a 68 yr old male in good health and have experienced zero impacts from NMN in workout, energy, cognition, etc.  Many of the YouTube influencers rely on their personal workout experiences to validate the value of NMN and I’ve been increasingly suspect of these anecdotal, placebo prone reviews.  While I like what Berberine has done for my blood glucose and A1c levels , along with my lipid levels…I’m not planning to buy any more NMN from DNA or other reputable suppliers.  I’m also a big fan of Creatine but NMN seems like a waste of $ and I’m ending my use of it."
34,7 months ago,evidence_studies,0,"NMN mice are the most overworked rodents in scientific history. These poor little guys jog on treadmills, get force-fed miracle molecules, and suddenly every human with a credit card is like, “Yes. That’s me now.”"
34,7 months ago,,0,Nicotine patches are helping people with Long Covid.  It helped me.
34,2 years ago,nmn_vs_nr_nad|no_effect|safety_side_fx,0,"I've been taking NR for several years. First week of taking it, I had heart palpitations. After the first week, everything settled and didn't notice much difference except slightly better endurance when exercising. After about a year however, looking back and comparing pre and post blood works. Wow, what a difference it has made. Lower cholesterol and much lower triglyceride. Started my mother on it, and again, after about a year, her blood sugar went from Type 2 diabetic levels to be within the normal range. Neither of us changed our lifestyle or diet when taking it. One set back though, NR did seem to agitate my liver quite a bit."
34,2 years ago,evidence_studies,0,I would like to hear your thoughts on Astaxanthin 😊 I think there's quite a number of studies on it of various quality.
33,7 months ago,evidence_studies,0,"No matter the results of studies, people who are taking NMN and are seeing improvements in their health and wellbeing, will continue to take it.  The same goes for any supplement or diet."
32,7 months ago,form_absorption|benefit_sleep,0,"I thought anti-aging lived in capsules 🫠 but my body was overloaded. Nothing worked until I fixed the basics. A friend recommended the Balanced Woman Playbook by Mira Wells and said it helped her feel youthful again from the inside. She wasn’t wrong—flat belly, calm digestion, better sleep, and 30 lbs down. Feels like real anti-aging that doesn’t get marketed."
32,2 years ago,,0,"NMN has been a game changer for me. Y’all can take what you want, I don’t really care. But If you are over 55 you may want to consider it. Don’t take my word for it, get your NAD levels tested before and after."
31,7 months ago,evidence_studies,0,Studies can be manipulated depending on who funds them and their interests!
31,7 months ago,benefit_energy|benefit_cognition|benefit_skin_hair,0,"Anti-aging videos always pulled me in because I felt older than I was 😅 low energy, dull skin, brain fog, bloating after meals. I tried supplements like NMN hoping they’d fix it, but my body barely responded. It was disappointing. In a women’s healing forum, someone mentioned Balanced Woman Playbook by Mira Wells and how aging signs calm down when digestion detoxes. I tried it and slowly felt younger—clearer skin, steady energy, and 26 lbs gone. Didn’t expect food patterns to do that."
31,2 years ago,storage_heat|benefit_cognition|benefit_joints,0,"Excellent review! The evidence is overwhelming that the number one anti-aging pill is exercise. And the three types of exercise to focus on are cardio respiratory fitness, strength training, and mobility / stability training. Much thanks for taking the considerable time and attention required to produce this and all of your videos, Brad!"
31,3 years ago,benefit_recovery,0,"I've spent a lot of money on supplements like NMN over the past year, which unfortunately I probably should've spent on gym memberships and massages. I have a feeling the longevity supplements field will be the wild west for quite some time. Thanks for helping bring us back down to Earth."
30,4 years ago,form_absorption,0,"Hi Thomas - please do a follow up video on your NMN experience and if you've tried taking any of the other forms of it other than capsules like the powders, gels etc. Appreciate all your knowledge and advice."
30,3 years ago,just_take_niacin|price_value|safety_side_fx,0,"If they ban NMN, then switch to niacin. But only the type of niacin that gives you a flush. In other words, nicotinic acid. It raises NAD+ and it's dirt cheap."
